[[1.13570308e-01 2.25139752e-01 1.99082758e-01 2.38776386e-01
  2.56730173e-01 2.48181372e-01 2.53850484e-01 3.27751186e-01
  3.46395158e-01 3.04189381e-01 2.96389927e-01]
 [1.54677775e-01 4.47071869e-02 1.24082944e-01 1.37420259e-01
  2.94675085e-01 3.13939582e-01 3.73503836e-01 4.64570851e-01
  5.46239456e-01 5.98549424e-01 5.92266991e-01]
 [1.33429315e-01 3.42494050e-02 8.50071527e-02 2.19416307e-01
  2.91373743e-01 3.30733491e-01 3.78107984e-01 5.39041942e-01
  5.64373602e-01 6.64175761e-01 7.57977449e-01]
 [1.92454507e-01 1.02692044e-02 5.57678248e-02 1.93235308e-01
  2.59128367e-01 3.12773960e-01 3.97284797e-01 5.10982715e-01
  6.03424225e-01 6.88716095e-01 7.56863996e-01]
 [1.20361854e-01 5.83768706e-02 2.85278169e-02 1.02825313e-01
  2.38263428e-01 3.08970773e-01 3.95348981e-01 4.28088133e-01
  5.73324071e-01 6.72293328e-01 7.90260457e-01]
 [8.54391430e-02 2.97092996e-01 3.10611033e-01 3.63116031e-01
  4.62900139e-01 4.93713179e-01 5.39499982e-01 6.48805349e-01
  6.66447659e-01 7.01511891e-01 7.67761047e-01]
 [7.76427070e-02 1.14452193e-01 4.19715786e-02 9.71727344e-02
  1.60463943e-01 2.07713775e-01 2.84595169e-01 4.02028185e-01
  5.03030060e-01 6.31842935e-01 7.59662727e-01]
 [4.99208561e-02 5.42510411e-02 2.74881116e-02 1.22280023e-01
  1.82715813e-01 2.49101796e-01 3.39500136e-01 3.73747580e-01
  4.97083936e-01 5.56197637e-01 7.20314437e-01]
 [5.64473986e-04 7.58270639e-02 8.64763032e-02 1.03757918e-01
  1.79753752e-01 2.40504354e-01 2.92871286e-01 3.61455291e-01
  4.27285265e-01 5.19811086e-01 6.70601118e-01]
 [4.38816382e-02 7.72285135e-02 6.54717762e-02 1.18949143e-01
  2.29150573e-01 2.11761298e-01 2.51235824e-01 3.40194325e-01
  3.96267274e-01 4.32722326e-01 5.48715272e-01]
 [8.99851272e-02 1.33381492e-01 1.23567425e-01 1.35717332e-01
  1.83979560e-01 1.92726832e-01 2.38095037e-01 2.40561792e-01
  2.97517643e-01 3.05517434e-01 3.05964870e-01]]
